"dietname","treename"
"Acratosaura_mentalis","Acratosaura_mentalis"
"Agama_yemenensis","Acanthocercus_yemensis"
"Algyroides_nigropunctatus","Algyroides_nigropunctatus"
"Alopoglossus_angulatus","Alopoglossus_angulatus"
"Alopoglossus_atriventris","Alopoglossus_atriventris"
"Ameiva_ameiva","Ameiva_ameiva"
"Ameiva_festiva","Holcosus_festivus"
"Amphibolurus_cristatus","Ctenophorus_cristatus"
"Amphibolurus_inermis","Ctenophorus_nuchalis"
"Amphibolurus_isolepis","Ctenophorus_isolepis"
"Amphibolurus_scutulatus","Ctenophorus_scutulatus"
"Amphisbaena_heathi","Amphisbaena_heathi"
"Amphisbaena_munoai","Amphisbaena_munoai"
"Anolis_auratus","Anolis_auratus"
"Anolis_bahorucoensis","Anolis_bahorucoensis"
"Anolis_biporcatus","Anolis_biporcatus"
"Anolis_capito","Anolis_capito"
"Anolis_carpenteri","Anolis_carpenteri"
"Anolis_coelestinus","Anolis_coelestinus"
"Anolis_cybotes","Anolis_cybotes"
"Anolis_distichus","Anolis_distichus"
"Anolis_fuscoauratus","Anolis_fuscoauratus"
"Anolis_humilis","Anolis_humilis"
"Anolis_lemurinus","Anolis_lemurinus"
"Anolis_limifrons","Anolis_limifrons"
"Anolis_meridionalis","Anolis_meridionalis"
"Anolis_nitens","Anolis_tandai"
"Anolis_ortonii","Anolis_ortonii"
"Anolis_oxylophus","Anolis_oxylophus"
"Anolis_planiceps","Anolis_planiceps"
"Anolis_punctatus","Anolis_punctatus"
"Anolis_scypheus","Anolis_scypheus"
"Anolis_tandai","Anolis_tandai"
"Anolis_trachyderma","Anolis_trachyderma"
"Anolis_transversalis","Anolis_transversalis"
"Anolis_ventrimaculatus","Anolis_ventrimaculatus"
"Anops_kingi","Amphisbaena_kingii"
"Anotosaura_vanzolinia","Anotosaura_vanzolinia"
"Arthrosaura_reticulata","Arthrosaura_reticulata"
"Aspidoscelis_costatus","Aspidoscelis_costatus"
"Aspidoscelis_deppei","Aspidoscelis_deppii"
"Aspidoscelis_marmoratus","Aspidoscelis_marmoratus"
"Aspidoscelis_tesselata","Aspidoscelis_tesselatus"
"Aspidoscelis_tigris","Aspidoscelis_tigris"
"Aspidoscelis_trigris","Aspidoscelis_tigris"
"Bachia_bicolor","Bachia_bicolor"
"Bachia_bresslaui","Bachia_bresslaui"
"Bachia_dorbignyi","Bachia_dorbignyi"
"Basiliscus_plumifrons","Basiliscus_plumifrons"
"Caimanops_amphiboluroides","Diporiphora_amphiboluroides"
"Callisaurus_draconoides","Callisaurus_draconoides"
"Calyptommatus_leiolepis","Calyptommatus_leiolepis"
"Cercosaura_argula","Cercosaura_argulus"
"Cercosaura_eigenmanni","Cercosaura_eigenmanni"
"Cercosaura_ocellata","Cercosaura_ocellata"
"Cercosaura_schreibersii","Cercosaura_schreibersii"
"Chalcides_ocellatus","Chalcides_ocellatus"
"Chamaeleo_jacksonii","Trioceros_jacksonii"
"Chatogekko_amazonicus","Chatogekko_amazonicus"
"Chelosania_brunnea","Chelosania_brunnea"
"Chlamydosaurus_kingii","Chlamydosaurus_kingii"
"Chondrodactylus_angulifer","Chondrodactylus_angulifer"
"Cnemidophorus_abaetensis","Glaucomastix_abaetensis"
"Cnemidophorus_cryptus","Cnemidophorus_cryptus"
"Cnemidophorus_lacertoides","Contomastix_lacertoides"
"Cnemidophorus_lemniscatus","Cnemidophorus_lemniscatus"
"Cnemidophorus_littoralis","Glaucomastix_littoralis"
"Cnemidophorus_mumbuca","Ameivula_mumbuca"
"Cnemidophorus_murinus","Cnemidophorus_murinus"
"Cnemidophorus_nativo","Ameivula_nativo"
"Cnemidophorus_ocellifer","Ameivula_ocellifera"
"Cnemidophorus_parecis","Ameiva_parecis"
"Cnemidophorus_sp.",NA
"Cnemidophorus_venetacaudus","Glaucomastix_venetacauda"
"Coleodactylus_meridionalis","Coleodactylus_meridionalis"
"Coleodactylus_septentrionalis","Coleodactylus_septentrionalis"
"Coleonyx_variegatus","Coleonyx_variegatus"
"Colobosaura_modesta","Colobosaura_modesta"
"Colopus_wahlbergii","Pachydactylus_wahlbergii"
"Cophosaurus_texanus","Cophosaurus_texanus"
"Cordylus_cordylus","Cordylus_cordylus"
"Cordylus_giganteus","Smaug_giganteus"
"Cordylus_niger","Cordylus_niger"
"Cordylus_oelofseni","Cordylus_oelofseni"
"Corytophanes_cristatus","Corytophanes_cristatus"
"Crocodilurus_amazonicus","Crocodilurus_amazonicus"
"Crotaphytus_wislizenii","Gambelia_wislizenii"
"Cryptoblepharus_boutonii","Cryptoblepharus_boutonii"
"Cryptoblepharus_buchananii","Cryptoblepharus_buchananii"
"Ctenophorus_caudicinctus","Ctenophorus_caudicinctus"
"Ctenophorus_clayi","Ctenophorus_clayi"
"Ctenophorus_fordi","Ctenophorus_fordi"
"Ctenophorus_reticulatus","Ctenophorus_reticulatus"
"Ctenosaura_hemilopha","Ctenosaura_hemilopha"
"Ctenosaura_pectinata","Ctenosaura_pectinata"
"Ctenotus_ariadnae","Ctenotus_ariadnae"
"Ctenotus_atlas","Ctenotus_atlas"
"Ctenotus_brooksi","Ctenotus_brooksi"
"Ctenotus_calurus","Ctenotus_calurus"
"Ctenotus_colletti","Ctenotus_colletti"
"Ctenotus_dux","Ctenotus_dux"
"Ctenotus_grandis","Ctenotus_grandis"
"Ctenotus_helenae","Ctenotus_inornatus"
"Ctenotus_leae","Ctenotus_leae"
"Ctenotus_leonhardii","Ctenotus_leonhardii"
"Ctenotus_pantherinus","Ctenotus_pantherinus"
"Ctenotus_piankai","Ctenotus_piankai"
"Ctenotus_quattuordecimlineatus","Ctenotus_quattuordecimlineatus"
"Ctenotus_schomburgkii","Ctenotus_schomburgkii"
"Cyclodomorphus_melanops","Cyclodomorphus_melanops"
"Cyclura_lewisi","Cyclura_lewisi"
"Cyrtopodion_scabrum","Cyrtopodion_scabrum"
"Delma_impar","Delma_impar"
"Dicrodon_guttulatum","Dicrodon_guttulatum"
"Diplodactylus_ciliaris","Strophurus_ciliaris"
"Diplodactylus_conspicillatus","Diplodactylus_conspicillatus"
"Diplodactylus_elderi","Strophurus_elderi"
"Diplodactylus_pulcher","Diplodactylus_pulcher"
"Diplodactylus_stenodactylus","Lucasium_stenodactylum"
"Diplodactylus_strophurus","Strophurus_strophurus"
"Diploglossus_bilobatus","Diploglossus_bilobatus"
"Diploglossus_lessonae","Diploglossus_lessonae"
"Diporiphora_paraconvergens","Diporiphora_paraconvergens"
"Dipsosaurus_dorsalis","Dipsosaurus_dorsalis"
"Draco_maculatus","Draco_maculatus"
"Draco_maximus","Draco_maximus"
"Draco_melanopogon","Draco_melanopogon"
"Draco_obscurus","Draco_obscurus"
"Draco_quinquefasciatus","Draco_quinquefasciatus"
"Dryadosaura_nordestina","Dryadosaura_nordestina"
"Ecpleopus_gaudichaudii","Ecpleopus_gaudichaudii"
"Egernia_coventryi","Lissolepis_coventryi"
"Egernia_depressa","Egernia_depressa"
"Egernia_formosa","Egernia_formosa"
"Egernia_inornata","Liopholis_inornata"
"Egernia_slateri","Liopholis_slateri"
"Egernia_striata","Liopholis_striata"
"Emoia_atrocostata","Emoia_atrocostata"
"Enyalioides_laticeps","Enyalioides_laticeps"
"Enyalioides_palpebralis","Enyalioides_palpebralis"
"Enyalius_bibronii","Enyalius_bibronii"
"Enyalius_bilineatus","Enyalius_bilineatus"
"Enyalius_brasiliensis","Enyalius_brasiliensis"
"Enyalius_leechii","Enyalius_leechii"
"Enyalius_perditus","Enyalius_perditus"
"Eremiascincus_richardsonii","Eremiascincus_richardsonii"
"Eurolophosaurus_divaricatus","Eurolophosaurus_divaricatus"
"Eutropis_multifasciata","Eutropis_multifasciata"
"Gallotia_atlantica","Gallotia_atlantica"
"Gallotia_galloti","Gallotia_galloti"
"Gehyra_variegata","Gehyra_variegata"
"Gerrhosaurus_skoogi","Gerrhosaurus_skoogi"
"Gonatodes_concinnatus","Gonatodes_concinnatus"
"Gonatodes_hasemani","Gonatodes_hasemani"
"Gonatodes_humeralis","Gonatodes_humeralis"
"Gymnodactylus_geckoides","Gymnodactylus_geckoides"
"Gymnophthalmus_underwoodi","Gymnophthalmus_underwoodi"
"Heloderma_horridum","Heloderma_horridum"
"Hemidactylus_agrius","Hemidactylus_agrius"
"Hemidactylus_brasilianus","Hemidactylus_brasilianus"
"Hemidactylus_mabouia","Hemidactylus_mabouia"
"Hemidactylus_palaichthus","Hemidactylus_palaichthus"
"Heteronotia_binoei","Heteronotia_binoei"
"Homopholis_walbergii","Homopholis_walbergii"
"Iguana_iguana","Iguana_iguana"
"Iphisa_elegans","Iphisa_elegans"
"Japalura_swinhonis","Diploderma_swinhonis"
"Kentropyx_altamazonica","Kentropyx_altamazonica"
"Kentropyx_calcarata","Kentropyx_calcarata"
"Kentropyx_paulensis","Kentropyx_paulensis"
"Kentropyx_pelviceps","Kentropyx_pelviceps"
"Kentropyx_striata","Kentropyx_striata"
"Kentropyx_vanzoi","Kentropyx_vanzoi"
"Lacerta_lepida","Timon_lepidus"
"Lacerta_viridis","Lacerta_viridis"
"Leiocephalus_carinatus","Leiocephalus_carinatus"
"Leiocephalus_greenwayi","Leiocephalus_greenwayi"
"Leiocephalus_inaguae","Leiocephalus_inaguae"
"Leiocephalus_loxogrammus","Leiocephalus_loxogrammus"
"Leiocephalus_punctatus","Leiocephalus_punctatus"
"Lepidoblepharis_xanthostigma","Lepidoblepharis_xanthostigma"
"Lepidophyma_flavimaculatum","Lepidophyma_flavimaculatum"
"Leposoma_parietale","Loxopholis_parietalis"
"Leposternon_polystegum","Leposternon_polystegum"
"Lerista_Desertorum","Lerista_desertorum"
"Liolaemus_lutzae","Liolaemus_lutzae"
"Liolaemus_poecilochromus","Liolaemus_poecilochromus"
"Liolaemus_pseudoanomalus","Liolaemus_pseudoanomalus"
"Lophognathus_longirostris","Gowidon_longirostris"
"Loxopholis_percarinatum","Loxopholis_percarinatum"
"Lygodactylus_capensis","Lygodactylus_capensis"
"Lygodactylus_klugei","Lygodactylus_klugei"
"Lygosoma_cherriei","Scincella_cherriei"
"Mabuya_agilis","Brasiliscincus_agilis"
"Mabuya_agmosticha","Psychosaura_agmosticha"
"Mabuya_dorsivittata","Aspronema_dorsivittatum"
"Mabuya_frenata","Notomabuya_frenata"
"Mabuya_guaporicola","Manciola_guaporicola"
"Mabuya_heathi","Brasiliscincus_heathi"
"Mabuya_longicaudata","Eutropis_longicaudata"
"Mabuya_macrorhyncha","Psychosaura_macrorhyncha"
"Mabuya_nigropunctata","Copeoglossum_nigropunctatum"
"Mabuya_occidentalis","Trachylepis_occidentalis"
"Mabuya_spilogaster","Trachylepis_spilogaster"
"Mabuya_striata","Trachylepis_striata"
"Mabuya_variegata","Trachylepis_variegata"
"Marisora_unimarginata","Marisora_unimarginata"
"Micrablepharus_atticolus","Micrablepharus_atticolus"
"Micrablepharus_maximiliani","Micrablepharus_maximiliani"
"Moloch_horridus","Moloch_horridus"
"Morethia_butleri","Morethia_butleri"
"Nephrurus_laevissimus","Nephrurus_laevissimus"
"Nephrurus_levis","Nephrurus_levis"
"Nephrurus_vertebralis","Nephrurus_vertebralis"
"Niveoscincus_ocellatus","Carinascincus_ocellatus"
"Nothobachia_ablephara","Nothobachia_ablephara"
"Nucras_holubi","Nucras_holubi"
"Nucras_intertexta","Nucras_intertexta"
"Nucras_lalandii","Nucras_lalandii"
"Nucras_ornata","Nucras_ornata"
"Nucras_tessellata","Nucras_tessellata"
"Oligosoma_lineoocellatum","Oligosoma_lineoocellatum"
"Oligosoma_nigriplantare","Oligosoma_nigriplantare"
"Ophiodes_striatus","Ophiodes_striatus"
"Pachydactylus_bibronii","Chondrodactylus_bibronii"
"Pachydactylus_capensis","Pachydactylus_capensis"
"Pachydactylus_rugosus","Pachydactylus_rugosus"
"Panopa_carvalhoi","Panopa_carvalhoi"
"Phrynocephalus_przewalskii","Phrynocephalus_przewalskii"
"Phrynosoma_douglassii","Phrynosoma_douglasii"
"Phrynosoma_platyrhinos","Phrynosoma_platyrhinos"
"Phyllopezus_periosus","Phyllopezus_periosus"
"Phyllopezus_pollicaris","Phyllopezus_pollicaris"
"Phymaturus_palluma","Phymaturus_palluma"
"Physignathus_cocincinus","Physignathus_cocincinus"
"Plica_plica","Plica_plica"
"Plica_umbra","Plica_umbra"
"Podarcis_lilfordi","Podarcis_lilfordi"
"Podarcis_tauricus","Podarcis_tauricus"
"Polychrus_acutirostris","Polychrus_acutirostris"
"Polychrus_marmoratus","Polychrus_marmoratus"
"Potamites_ecpleopus","Potamites_ecpleopus"
"Procellosaurinus_erythrocercus","Procellosaurinus_erythrocercus"
"Pseudogonatodes_guianensis","Pseudogonatodes_guianensis"
"Psilophthalmus_paeminosus","Psilops_paeminosus"
"Ptenopus_garrulus","Ptenopus_garrulus"
"Ptychoglossus_bicolor","Ptychoglossus_bicolor"
"Rhacodactylus_auriculatus","Rhacodactylus_auriculatus"
"Rhynchoedura_ornata","Rhynchoedura_ornata"
"Sauromalus_obesus","Sauromalus_ater"
"Sceloporus_gadoviae","Sceloporus_gadoviae"
"Sceloporus_grammicus","Sceloporus_grammicus"
"Sceloporus_horridus","Sceloporus_horridus"
"Sceloporus_jalapae","Sceloporus_jalapae"
"Sceloporus_magister","Sceloporus_magister"
"Sceloporus_siniferus","Sceloporus_siniferus"
"Sceloporus_torquatus","Sceloporus_torquatus"
"Sceloporus_undulatus","Sceloporus_undulatus"
"Scincus_scincus","Scincus_scincus"
"Scriptosaura_catimbau","Scriptosaura_catimbau"
"Sphaerodactylus_millepunctatus","Sphaerodactylus_millepunctatus"
"Sphaerodactylus_vincenti","Sphaerodactylus_vincenti"
"Sphenomorphus_incognitus","Sphenomorphus_incognitus"
"Sphenops_sepsoides","Chalcides_sepsoides"
"Stenocercus_modestus","Stenocercus_modestus"
"Stenocercus_roseiventris","Stenocercus_roseiventris"
"Takydromus_sauteri","Takydromus_sauteri"
"Tarentola_mauritanica","Tarentola_mauritanica"
"Teius_oculatus","Teius_oculatus"
"Thecadactylus_rapicauda","Thecadactylus_rapicauda"
"Thecadactylus_solimoensis","Thecadactylus_solimoensis"
"Tiliqua_multifasciata","Tiliqua_multifasciata"
"Tiliqua_rugosa","Tiliqua_rugosa"
"Tretioscincus_oriximinensis","Tretioscincus_oriximinensis"
"Trogonophis_wiegmanni","Trogonophis_wiegmanni"
"Tropidurus_cocorobensis","Tropidurus_cocorobensis"
"Tropidurus_etheridgei","Tropidurus_etheridgei"
"Tropidurus_helenae","Tropidurus_helenae"
"Tropidurus_hispidus","Tropidurus_hispidus"
"Tropidurus_insulanus","Tropidurus_insulanus"
"Tropidurus_itambere","Tropidurus_itambere"
"Tropidurus_jaguaribanus","Tropidurus_jaguaribanus"
"Tropidurus_montanus","Tropidurus_montanus"
"Tropidurus_oreadicus","Tropidurus_oreadicus"
"Tropidurus_psammonastes","Tropidurus_psammonastes"
"Tropidurus_semitaeniatus","Tropidurus_semitaeniatus"
"Tropidurus_torquatus","Tropidurus_torquatus"
"Tupinambis_longilineus","Tupinambis_longilineus"
"Tupinambis_merianae","Salvator_merianae"
"Tupinambis_teguixin","Tupinambis_teguixin"
"Typhlosaurus_gariepensis","Acontias_gariepensis"
"Typhlosaurus_lineatus","Acontias_lineatus"
"Uma_notata","Uma_notata"
"Uracentron_flaviceps","Uracentron_flaviceps"
"Uranoscodon_superciliosus","Uranoscodon_superciliosus"
"Uromastyx_aegyptius_microlepis","Uromastyx_aegyptia"
"Uta_estansburiana","Uta_stansburiana"
"Uta_stansburiana","Uta_stansburiana"
"Vanzosaura_multiscutata","Vanzosaura_multiscutata"
"Vanzosaura_rubricauda","Vanzosaura_rubricauda"
"Varanus_albigularis","Varanus_albigularis"
"Varanus_brevicauda","Varanus_brevicauda"
"Varanus_caudolineatus","Varanus_caudolineatus"
"Varanus_eremius","Varanus_eremius"
"Varanus_gilleni","Varanus_gilleni"
"Varanus_gouldii","Varanus_gouldii"
"Varanus_niloticus","Varanus_niloticus"
"Varanus_tristis","Varanus_tristis"
"Varanus_varius","Varanus_varius"
"Xenosaurus_grandis","Xenosaurus_grandis"
"Xenosaurus_newmanorum","Xenosaurus_newmanorum"
"Xenosaurus_platyceps","Xenosaurus_platyceps"
"Acanthophis_antarcticus","Acanthophis_antarcticus"
"Acanthophis_praelongus","Acanthophis_praelongus"
"Achalinus_spinalis","Achalinus_spinalis"
"Acrantophis_dumerili","Acrantophis_dumerili"
"Acrantophis_madagascariensis","Acrantophis_madagascariensis"
"Acrochordus_arafurae","Acrochordus_arafurae"
"Acrochordus_granulatus","Acrochordus_granulatus"
"Acutotyphlops_subocularis","Acutotyphlops_subocularis"
"Adelphicos_nigrilatum","Adelphicos_nigrilatum"
"Adelphicos_quadrivirgatum","Adelphicos_quadrivirgatus"
"Adelphicos_veraepacis","Adelphicos_veraepacis"
"Afronatrix_anoscopus","Afronatrix_anoscopus"
"Afrotyphlops_bibronii","Afrotyphlops_bibronii"
"Afrotyphlops_fornasinii","Afrotyphlops_fornasinii"
"Afrotyphlops_punctatus","Afrotyphlops_punctatus"
"Agkistrodon_contortrix","Agkistrodon_contortrix"
"Agkistrodon_piscivorus","Agkistrodon_piscivorus"
"Ahaetulla_fronticincta","Ahaetulla_fronticincta"
"Ahaetulla_mycterizans","Ahaetulla_mycterizans"
"Ahaetulla_nasuta","Ahaetulla_nasuta"
"Ahaetulla_perroteti","Ahaetulla_perroteti"
"Ahaetulla_prasina","Ahaetulla_prasina"
"Ahaetulla_pulverulenta","Ahaetulla_pulverulenta"
"Aipysurus_eydouxii","Aipysurus_eydouxii"
"Alsophis_rufiventris","Alsophis_rufiventris"
"Amastridium_veliferum","Amastridium_veliferum"
"Amblyodipsas_concolor","Amblyodipsas_concolor"
"Amblyodipsas_katangensis","Amblyodipsas_katangensis"
"Amblyodipsas_microphthalma","Amblyodipsas_microphthalma"
"Amblyodipsas_polylepis","Amblyodipsas_polylepis"
"Amblyodipsas_unicolor","Amblyodipsas_unicolor"
"Amblyodipsas_ventrimaculata","Amblyodipsas_ventrimaculata"
"Amphiesma_beddomei","Hebius_beddomei"
"Amphiesma_craspedogaster","Hebius_craspedogaster"
"Amphiesma_ishigakiense","Hebius_ishigakiense"
"Amphiesma_khasiense","Hebius_khasiense"
"Amphiesma_modestum","Hebius_modestum"
"Amphiesma_monticola","Hebius_monticola"
"Amphiesma_octolineatum","Hebius_octolineatum"
"Amphiesma_platyceps","Herpetoreas_platyceps"
"Amphiesma_stolatum","Amphiesma_stolatum"
"Amphiesma_venningi","Hebius_venningi"
"Amphiesma_vibakari","Hebius_vibakari"
"Anilius_scytale","Anilius_scytale"
"Antaresia_childreni","Antaresia_childreni"
"Antaresia_maculosa","Antaresia_maculosa"
"Antaresia_perthensis","Antaresia_perthensis"
"Antaresia_stimsoni","Antaresia_stimsoni"
"Aparallactus_capensis","Aparallactus_capensis"
"Aparallactus_guentheri","Aparallactus_guentheri"
"Aparallactus_werneri","Aparallactus_werneri"
"Apostolepis_ammodites","Apostolepis_ammodites"
"Apostolepis_assimilis","Apostolepis_assimilis"
"Apostolepis_cearensis","Apostolepis_cearensis"
"Apostolepis_dimidiata","Apostolepis_dimidiata"
"Apostolepis_multicincta","Apostolepis_multicincta"
"Apostolepis_nigroterminata","Apostolepis_nigroterminata"
"Apostolepis_pymi","Apostolepis_pymi"
"Arizona_elegans","Arizona_elegans"
"Aspidelaps_lubricus","Aspidelaps_lubricus"
"Aspidelaps_scutatus","Aspidelaps_scutatus"
"Aspidites_melanocephalus","Aspidites_melanocephalus"
"Aspidites_ramsayi","Aspidites_ramsayi"
"Aspidomorphus_lineaticollis","Aspidomorphus_lineaticollis"
"Aspidomorphus_muelleri","Aspidomorphus_muelleri"
"Aspidomorphus_schlegeli","Aspidomorphus_schlegelii"
"Aspidura_brachyorrhos","Aspidura_brachyorrhos"
"Aspidura_guentheri","Aspidura_guentheri"
"Aspidura_trachyprocta","Aspidura_trachyprocta"
"Asthenodipsas_malaccanus","Asthenodipsas_malaccanus"
"Atheris_barbouri","Atheris_barbouri"
"Atheris_ceratophora","Atheris_ceratophora"
